quicksort,Specialized Lazy Proxied Coercions,0.00
ray,Specialized Lazy Proxied Coercions,0.10
sieve,Specialized Lazy Proxied Coercions,0.20
n_body,Specialized Lazy Proxied Coercions,0.26
fft,Specialized Lazy Proxied Coercions,0.49
matmult,Specialized Lazy Proxied Coercions,0.69
tak,Specialized Lazy Proxied Coercions,0.78
array,Specialized Lazy Proxied Coercions,1.01
blackscholes,Specialized Lazy Proxied Coercions,1.03
quicksort,Specialized Lazy Monotonic Coercions,0.01
ray,Specialized Lazy Monotonic Coercions,0.10
sieve,Specialized Lazy Monotonic Coercions,0.20
n_body,Specialized Lazy Monotonic Coercions,0.34
fft,Specialized Lazy Monotonic Coercions,0.53
tak,Specialized Lazy Monotonic Coercions,0.78
array,Specialized Lazy Monotonic Coercions,0.92
blackscholes,Specialized Lazy Monotonic Coercions,1.04
matmult,Specialized Lazy Monotonic Coercions,1.19
